,Q7_Part_1,Q7_Part_2,Q7_Part_3,Q7_Part_4,Q7_Part_5,Q7_Part_6,Q7_Part_7,Q7_Part_8,Q7_Part_9,Q7_Part_10,Q7_Part_11,Q7_Part_12,Q7_OTHER
1,Python,R,SQL,C,,,Javascript,,,,MATLAB,,Other
2,Python,R,SQL,,,,,,,,,,
3,,,,,,Java,Javascript,,,Bash,,,
4,Python,,SQL,,,,,,,Bash,,,
5,Python,,,,,,,,,,,,
6,Python,R,,,,,,,,,,,
7,Python,R,,C,,,,,,,,,
8,,R,,,,,,,,,,,
9,Python,,SQL,,,,,,,Bash,,,
10,Python,,SQL,,,,,,,,,,
11,Python,R,SQL,C,,Java,,,,,,,
12,,R,,,,,,,,,,,
13,Python,R,SQL,,,,,,,,MATLAB,,
14,Python,,SQL,,,,,,,,MATLAB,,
15,Python,R,,,,,,,,,,,
16,,R,SQL,,,,,,,,,,
17,,,SQL,,,,,,,,,,
18,Python,,,,,Java,Javascript,,,Bash,,,
19,Python,,SQL,C,C++,,Javascript,,,,,,
20,Python,,,,,Java,Javascript,,,,,,
21,,R,SQL,,C++,,,,,,,,
22,Python,,SQL,,,,,,,,,,
23,Python,,,,,,,,,,,,
24,Python,,SQL,,,,,,,,,,
25,Python,,,C,C++,,,,,,,,Other
26,Python,R,,,,,,,,,,,
27,Python,,,C,C++,Java,,,,,,,
28,Python,,,,,Java,,,,,,,
29,Python,,,,,,,,,,,,
30,Python,,,,,,,,,Bash,,,
31,Python,R,SQL,,,,Javascript,,,,,,Other
32,Python,,,C,C++,Java,Javascript,,,,,,
33,Python,,,,,,Javascript,,,,,,
34,Python,,SQL,C,C++,,,,,,MATLAB,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,Python,,SQL,,,,Javascript,,,,,,
38,Python,R,SQL,,,Java,,,,,,,
39,Python,R,,,,,,,,,,,Other
40,Python,,,C,C++,,,,,,,,
41,Python,R,SQL,,,,,,,,,,
42,,,,,C++,,,,,,,,
43,,,SQL,C,C++,Java,,,,,MATLAB,,
44,Python,R,,,,,,,,,,,
45,Python,,,,,,,,,,,,
46,Python,,,C,,,,,,,,,
47,,,,,,,,,,,,,
48,Python,,SQL,,,Java,Javascript,,,,,,Other
49,Python,,,,,,,,,,,,
50,Python,,SQL,,,,,,,,,,
51,,,,,,,,,,,,None,
52,,,,,,,,,,,,None,
53,Python,,SQL,C,C++,,,,,Bash,,,Other
54,,,,,,,,,,,,,
55,,,,,C++,,Javascript,,,,,,
56,,,,,,,,,,,,,
57,Python,,SQL,C,,,,,,,,,
58,Python,,,,C++,,,,,,MATLAB,,
59,Python,,SQL,,,,,,,,,,
60,Python,,,,,,,,,,,,
61,,R,SQL,C,,,Javascript,,,,,,
62,Python,,SQL,,,Java,Javascript,,,,MATLAB,,
63,Python,,,,,,,,,,,,
64,Python,,,C,C++,,,,,,,,
65,Python,R,,,,,,,,,,,
66,Python,,,,,,,,,,,,
67,Python,,,,,,,,,,,,
68,Python,,SQL,C,,,,,,,,,
69,Python,,,,,Java,,,,,,,
70,Python,,,,,,,,,,,,
71,Python,R,SQL,,,,,,,Bash,,,
72,Python,,,C,,,,,,,MATLAB,,
73,Python,,,,,,,,,,,,
74,Python,,SQL,,,,,,,,,,
75,,R,,,,,,,,,,,
76,,R,SQL,,,,,,,Bash,,,
77,Python,,,,,Java,Javascript,,,,,,
78,Python,R,SQL,C,,Java,,,,,,,
79,Python,,SQL,,,,,,,Bash,,,
80,,,,,,,,,,,,,
81,Python,,,,,,,,,,,,
82,Python,,SQL,,,,Javascript,,,,,,
83,Python,,,,,,,,,,,,
84,Python,,,,C++,,,,,,,,
85,,,,,,,,,,,,,
86,Python,,SQL,,,,Javascript,,,,,,
87,Python,,,,C++,Java,,,,,,,
88,Python,,SQL,,,,,,,,,,
89,Python,,SQL,C,C++,,,,,,,,
90,Python,R,,,,,,,,,,,
91,Python,,SQL,,,,Javascript,,,,,,
